,dam_code,geometry
141,154,POINT (141.72746781 43.5853207)
142,147,POINT (141.80633584 43.52122232)
143,148,POINT (141.79061282 43.51372758)
144,140,POINT (142.08172514 43.60853191)
145,119,POINT (142.44263451 43.12956666)
146,149,POINT (142.28828611 43.4436721)
147,115,POINT (142.21927023 43.48842352000002)
148,151,POINT (142.41661665 43.49192946999999)
149,110,POINT (142.5191667 43.48972222)
150,124,POINT (142.49321687 43.48091252)
151,112,POINT (142.23177378 43.44318607000001)
152,150,POINT (142.1755554331853 43.53305346434633)
153,128,POINT (142.09949447 43.28449936)
154,121,POINT (141.97942584 43.35441622)
155,155,POINT (141.73031122 43.3987793)
156,116,POINT (141.64634498 43.38238152)
157,156,POINT (142.00282915 43.23994853)
158,157,POINT (142.00282915 43.23994853)
159,159,POINT (141.9863962218234 43.27805521659501)
160,90,POINT (141.93691021 43.16417589999999)
161,160,POINT (141.8341667 43.18947222)
162,161,POINT (141.84170071 43.17388895)
163,162,POINT (141.7814736300001 43.18135176)
164,163,POINT (141.84311917 43.13792055000002)
165,164,POINT (141.99033147 43.0071712)
166,165,POINT (142.09889999 43.02302068)
167,166,POINT (142.10106817 43.02462745999998)
168,132,POINT (141.91599534 42.91144444000001)
169,168,POINT (142.0207778 43.00172222)
170,169,POINT (141.9643056 43.07038889000001)
171,114,POINT (141.9602778 43.07480007)
172,170,POINT (141.9380556 42.89277777999999)
173,172,POINT (141.8658619552043 43.05476901556311)
174,171,POINT (141.8658574792519 43.05476982438059)
175,126,POINT (141.85538961 43.07530630000002)
176,173,POINT (141.50569909 42.79623599)
177,174,POINT (141.55559635 42.80422795000001)
178,109,POINT (141.44825587 42.84565682)
179,134,POINT (141.59447851 43.47749832)
180,175,POINT (141.55581865 43.27049967)
181,111,POINT (141.1536944 42.91572222)
182,113,POINT (141.2176111 42.97105556)
183,91,POINT (141.1575278 42.98475)
184,176,POINT (141.177623573714 42.97334262314337)
185,177,POINT (141.04167656 43.13329238)
186,178,POINT (140.9802866 43.15657336000001)
187,180,POINT (140.93393948 43.103903)
188,179,POINT (140.8959851334521 43.0912961870588)
189,181,POINT (140.683401 43.15489784)
190,182,POINT (140.61476816 43.03569108000001)
191,184,POINT (140.971699858315 42.93388665132412)
192,183,POINT (140.93567387 42.91139315)
193,186,POINT (140.19649058 42.47140927)
194,185,POINT (139.90945467 42.48233326)
195,187,POINT (140.13394102 42.10044444)
196,189,POINT (140.39174881 41.94976404)
197,190,POINT (140.184674154333 41.80276448919634)
198,17,POINT (143.07047833 42.64103017)
199,40,POINT (142.6700514884512 42.92663544638258)
200,59,POINT (140.59407753 41.85259604)
201,66,POINT (142.2969539157196 44.06333679495813)
202,72,POINT (142.6326074225343 44.32911542373474)
203,81,POINT (141.8306285490453 44.16818319348273)
204,82,POINT (141.7255386008223 44.09117877338205)
205,120,POINT (142.5836846629898 43.22914087677945)
206,145,POINT (141.5627167272904 43.31774666411157)
207,100,POINT (142.2611505332224 43.92206495672208)
208,101,POINT (142.5196555053934 43.77865658047525)
209,97,POINT (141.8378346943976 43.78609894326205)
210,95,POINT (141.7041078553953 43.38132423365148)
211,94,POINT (141.8311325234615 43.12698416265921)
212,96,POINT (141.8469059423041 43.12425558973972)
213,99,POINT (141.833828461701 43.17894759553818)
214,103,POINT (141.8606863758073 43.21925151985199)
215,104,POINT (141.8601477570481 43.22642846459666)
216,93,POINT (141.8870880361277 43.26357075622881)
217,61,POINT (142.6499699120137 44.05460672468908)
218,62,POINT (142.2871526733379 44.00329521975382)
219,102,POINT (141.9887476741132 43.61657613679711)
220,55,POINT (140.7860341835018 41.87020115494194)
221,188,POINT (140.2312014891148 41.95939760457814)
222,4,POINT (143.9748713706576 43.79269707762062)
223,63,POINT (142.5179593729528 44.28347756101061)
224,302,POINT (140.5280212519147 37.6448071598607)
225,294,POINT (140.4972761759001 37.71612889076667)
226,303,POINT (140.0785979746288 37.18491507782118)
227,304,POINT (140.0744047100763 37.15505797445942)
228,300,POINT (140.1077451450978 37.14803282743885)
229,297,POINT (140.232793564095 37.16110917539089)
230,321,POINT (140.2755707930838 37.02988685855541)
231,306,POINT (140.4853800872269 37.18856003093144)
232,307,POINT (140.4853800872269 37.18856003093144)
233,299,POINT (140.1375716448872 37.28613716779009)
234,309,POINT (140.1951199821237 37.30194954059342)
235,312,POINT (140.2555642679222 37.38407615204587)
236,305,POINT (140.2385684392294 37.39602114388702)
237,308,POINT (140.4748539808647 37.40363665528945)
238,319,POINT (140.4496142102213 37.3427947257007)
239,322,POINT (140.3076667957037 37.54502867796217)
240,316,POINT (140.3617158835861 37.60729397201997)
241,314,POINT (140.3873282936923 37.80669121468295)
242,313,POINT (140.41613511721 37.92666342079013)
243,318,POINT (140.4727964211197 37.86125754910962)
244,324,POINT (140.8936209077844 37.85149784214264)
245,326,POINT (140.8333086519394 37.7186620631604)
246,329,POINT (140.6865906884977 37.64584999524484)
247,327,POINT (140.8030668825325 37.63519540966662)
248,328,POINT (140.8915847435712 37.63015303879838)
249,331,POINT (140.8809527895149 37.57268609611412)
250,330,POINT (140.9058747975005 37.59900034637289)
251,332,POINT (140.9520540910709 37.59110604332061)
252,333,POINT (141.0178927380414 37.51505323746108)
253,334,POINT (140.8843492655907 37.51481431096737)
254,335,POINT (141.0127134 37.41172221999999)
255,339,POINT (140.9356866920988 37.41071900910049)
256,337,POINT (140.9444741167794 37.38316211785024)
257,338,POINT (140.8719808179679 37.41281562410003)
258,341,POINT (140.8735921584992 37.36348828010875)
259,342,POINT (140.9053541142632 37.34509995612095)
260,343,POINT (140.9148139615269 37.27150871911776)
261,344,POINT (140.927482480811 37.28393423799665)
262,345,POINT (140.9278181201857 37.18304929354107)
263,347,POINT (140.9089961832072 37.18153549987636)
264,348,POINT (140.5865057840329 37.27947454096493)
265,349,POINT (140.8275304830161 37.123918190662)
266,351,POINT (140.7328056 36.95663889)
267,350,POINT (140.7181890600418 36.90622006438769)
268,506,POINT (139.9102223628576 37.34779088876121)
269,509,POINT (139.735916776515 37.611248059059)
270,498,POINT (139.6875133405557 37.60610907259259)
271,524,POINT (139.6310441208912 37.63120945921514)
272,533,POINT (139.8680968336857 37.25452613090328)
273,502,POINT (139.7393200406345 37.23395996797402)
274,505,POINT (139.8724611842073 37.34319067319945)
275,535,POINT (140.0760713109418 37.27163714754219)
276,510,POINT (139.9297062314261 37.40578631574127)
277,501,POINT (139.9656561367311 37.46082748524801)
278,499,POINT (140.0058490241111 37.44749836346297)
279,529,POINT (140.0045435746392 37.45824837719762)
280,521,POINT (139.9322936559304 37.5955256896883)
281,525,POINT (139.9266588546375 37.68217518245589)
282,518,POINT (139.9075495874474 37.75248292027031)
283,519,POINT (139.8274686022094 37.6457271111612)
284,523,POINT (139.787652361636 37.3756372059297)
285,508,POINT (139.8302350290677 37.41646727875181)
286,516,POINT (139.8720859479527 37.39473915966212)
287,512,POINT (139.7771513611156 37.48675461177596)
288,503,POINT (139.2136756375234 37.21533201266673)
289,511,POINT (139.3013325634915 37.33545199674001)
290,526,POINT (139.2872551000785 37.31082251395365)
291,522,POINT (139.3846421212962 37.38703531832488)
292,534,POINT (139.493345037184 37.44135940856347)
293,520,POINT (139.5373631712403 37.48328457224594)
294,536,POINT (139.6297686769028 37.46261985328913)
295,531,POINT (139.7072204786503 37.51894823210857)
296,532,POINT (139.7627336321579 37.56460537890076)
297,515,POINT (139.29851006178 37.04784458491658)
298,537,POINT (139.4642508272467 37.36003167686361)
299,497,POINT (139.7111088272144 37.49398084483933)
300,507,POINT (139.7062536341861 37.67003235066421)
301,317,POINT (140.466280176217 37.45982206000094)
302,311,POINT (140.4194917972982 37.6300076188151)
303,340,POINT (140.9340237353877 37.35719340870394)
304,514,POINT (139.7812188078398 37.36413611522928)
305,336,POINT (140.979013444317 37.37569981397262)
306,325,POINT (140.7721805962555 37.79718548441691)
307,346,POINT (140.9424670222571 37.14309579497107)
308,517,POINT (139.8439833258738 37.7547861089262)
309,320,POINT (140.4503401945965 37.33975681106928)
310,310,POINT (140.1953877228335 37.29920866201716)
311,545,POINT (140.0743674942301 37.12718506159648)
312,298,POINT (140.4286463406582 37.68444761585059)
313,373,POINT (140.095240698342 40.35846307749663)
314,383,POINT (140.7687226573576 40.37589186502402)
315,374,POINT (140.6935934917511 40.21158220544235)
316,376,POINT (140.5844036232695 40.25379061268136)
317,388,POINT (140.5896290587668 40.1721020739146)
318,379,POINT (140.6029636577832 40.3287686205446)
319,385,POINT (140.5942084733729 40.2774377168964)
320,384,POINT (140.4720999359666 40.37014891085031)
321,380,POINT (140.3540177480996 40.40439909688994)
322,389,POINT (140.4577744219937 40.03596197669097)
323,390,POINT (140.6064106470815 40.04775891532356)
324,386,POINT (140.3132979631152 39.92464491012171)
325,377,POINT (140.2226543338519 40.33342693637339)
326,392,POINT (139.7731661058834 39.93023625829449)
327,437,POINT (139.7651910602817 39.93695212053782)
328,1937,POINT (139.7629299478735 39.9521331456226)
329,397,POINT (140.1616493641239 39.9244386877091)
330,396,POINT (140.150148468617 39.96847105400325)
331,398,POINT (140.1083170726855 40.05923143175905)
332,429,POINT (140.1530672247841 39.77860502715824)
333,428,POINT (140.1189000876853 39.80971634395051)
334,427,POINT (140.1186222539815 39.8136052454939)
335,409,POINT (140.6292490645491 39.05649636107358)
336,411,POINT (140.5970501134842 39.06770800569427)
337,404,POINT (140.5771934649438 39.21252919399058)
338,419,POINT (140.352351389596 39.16561333747158)
339,410,POINT (140.3311772666209 39.16798566313957)
340,375,POINT (140.167852101278 40.20272908528761)
341,423,POINT (140.6454079242583 39.30774085335658)
342,399,POINT (140.6450194489996 39.27999074988879)
343,421,POINT (140.5870188715755 39.37892408168783)
344,400,POINT (140.5711730216988 39.32855708042335)
345,420,POINT (140.3879180813594 39.35971640093119)
346,401,POINT (140.6159836138085 39.40332478305504)
347,416,POINT (140.6063325571634 39.4666430399494)
348,418,POINT (140.7992946953873 39.92845580640454)
349,422,POINT (140.6405118667707 39.83063287563163)
350,413,POINT (140.6534572302489 39.7898182825886)
351,415,POINT (140.7106454104685 39.63450110653707)
352,402,POINT (140.6862656391143 39.63007500144174)
353,405,POINT (140.2976738714383 39.43719619773893)
354,408,POINT (140.4409494332134 39.69263197058669)
355,403,POINT (140.3425344470579 39.74534227475284)
356,412,POINT (140.2165540544523 39.80140065780642)
357,417,POINT (140.1767907141555 39.74927014898226)
358,432,POINT (140.0420151200927 39.29708435869688)
359,436,POINT (140.2362106724387 39.25993744235149)
360,433,POINT (140.2363890434873 39.38738134518015)
361,434,POINT (140.1011191816949 39.41842816284113)
362,381,POINT (140.5405215745911 40.3119159160898)
363,391,POINT (139.7953825182694 39.91240790153024)
364,430,POINT (140.1158462363256 39.81656942511925)
365,425,POINT (140.7191710056808 39.03922356744521)
